model_class,id,name,version,description,labels,icon,edam_operations,edam_topics,hidden,is_workflow_compatible,xrefs,versions,hidden_versions,link,min_width,target,has_parameters,panel_section_id,panel_section_name,form_style,tool_shed_repository.name,tool_shed_repository.owner,tool_shed_repository.changeset_revision,tool_shed_repository.tool_shed,tool_text
Tool,toolshed.g2.bx.psu.edu/repos/iuc/ncbi_acc_download/ncbi_acc_download/0.2.8+galaxy0,NCBI Accession Download,0.2.8+galaxy0,Download sequences from GenBank/RefSeq by accession through the NCBI ENTREZ API,[],,[],[],,True,"[{'value': 'ncbi_resources', 'type': 'bio.tools'}]","['0.2.5+galaxy0', '0.2.7+galaxy0', '0.2.8+galaxy0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fncbi_acc_download%2Fncbi_acc_download%2F0.2.8%2Bgalaxy0,-1,galaxy_main,True,get_data,Get Data,regular,ncbi_acc_download,iuc,e063168e0a81,toolshed.g2.bx.psu.edu,NCBI Accession Download Download sequences from GenBank/RefSeq by accession through the NCBI ENTREZ API Get Data
Tool,toolshed.g2.bx.psu.edu/repos/galaxyp/unipept/unipept/6.2.4+galaxy1,Unipept,6.2.4+galaxy1,retrieve taxonomy for peptides,[],,[],[],,True,"[{'value': 'unipept', 'type': 'bio.tools'}]","['2.0.1', '4.3.0', '4.5.1', '6.2.4+galaxy0', '6.2.4+galaxy1']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fgalaxyp%2Funipept%2Funipept%2F6.2.4%2Bgalaxy1,-1,galaxy_main,True,get_data,Get Data,regular,unipept,galaxyp,4edfc76f8a29,toolshed.g2.bx.psu.edu,Unipept retrieve taxonomy for peptides Get Data
Tool,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/3.1.1+galaxy1,Download and Extract Reads in FASTQ,3.1.1+galaxy1,format from NCBI SRA,[],,"['operation_2422', 'operation_0335']","['topic_0622', 'topic_0091']",,True,"[{'value': 'sra-tools', 'type': 'bio.tools'}]","['2.9.1.3', '2.10.4', '2.10.4+galaxy1', '2.10.7+galaxy0', '2.10.7+galaxy1', '2.10.7+galaxy2', '2.10.8+galaxy0', '2.10.9+galaxy0', '2.11.0+galaxy0', '3.0.3+galaxy0', '3.0.5+galaxy0', '3.0.5+galaxy1', '3.0.5+galaxy3', '3.0.8+galaxy0', '3.0.8+galaxy1', '3.0.10+galaxy0', '3.1.0+galaxy0', '3.1.0+galaxy1', '3.1.1+galaxy0', '3.1.1+galaxy1']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fsra_tools%2Ffastq_dump%2F3.1.1%2Bgalaxy1,-1,galaxy_main,True,get_data,Get Data,regular,sra_tools,iuc,8848455c0270,toolshed.g2.bx.psu.edu,Download and Extract Reads in FASTQ format from NCBI SRA Get Data
DataSourceTool,ebi_sra_main,EBI SRA,1.0.1,ENA SRA,[],,['operation_0224'],[],,False,[],['1.0.1'],[],/tool_runner/data_source_redirect?tool_id=ebi_sra_main,800,_top,True,get_data,Get Data,special,,,,,EBI SRA ENA SRA Get Data
Tool,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/3.1.1+galaxy1,Download and Extract Reads in BAM,3.1.1+galaxy1,format from NCBI SRA,[],,"['operation_2422', 'operation_0335']","['topic_0622', 'topic_0091']",,True,"[{'value': 'sra-tools', 'type': 'bio.tools'}]","['2.9.1.4', '2.10.4', '2.10.4+galaxy1', '2.10.7+galaxy0', '2.10.7+galaxy1', '2.10.7+galaxy2', '2.10.8+galaxy0', '2.10.9+galaxy0', '2.11.0+galaxy0', '3.0.3+galaxy0', '3.0.5+galaxy0', '3.0.5+galaxy1', '3.0.5+galaxy3', '3.0.8+galaxy0', '3.0.8+galaxy1', '3.0.10+galaxy0', '3.1.0+galaxy0', '3.1.0+galaxy1', '3.1.1+galaxy0', '3.1.1+galaxy1']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fsra_tools%2Fsam_dump%2F3.1.1%2Bgalaxy1,-1,galaxy_main,True,get_data,Get Data,regular,sra_tools,iuc,8848455c0270,toolshed.g2.bx.psu.edu,Download and Extract Reads in BAM format from NCBI SRA Get Data
Tool,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump/3.1.1+galaxy1,Faster Download and Extract Reads in FASTQ,3.1.1+galaxy1,format from NCBI SRA,[],,"['operation_2422', 'operation_0335']","['topic_0622', 'topic_0091']",,True,"[{'value': 'sra-tools', 'type': 'bio.tools'}]","['2.10.4', '2.10.4+galaxy1', '2.10.4+galaxy2', '2.10.7+galaxy0', '2.10.7+galaxy1', '2.10.7+galaxy2', '2.10.8+galaxy0', '2.10.9+galaxy0', '2.11.0+galaxy0', '2.11.0+galaxy1', '3.0.3+galaxy0', '3.0.5+galaxy0', '3.0.5+galaxy1', '3.0.5+galaxy3', '3.0.8+galaxy0', '3.0.8+galaxy1', '3.0.10+galaxy0', '3.1.0+galaxy0', '3.1.0+galaxy1', '3.1.1+galaxy0', '3.1.1+galaxy1']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fsra_tools%2Ffasterq_dump%2F3.1.1%2Bgalaxy1,-1,galaxy_main,True,get_data,Get Data,regular,sra_tools,iuc,8848455c0270,toolshed.g2.bx.psu.edu,Faster Download and Extract Reads in FASTQ format from NCBI SRA Get Data
Tool,toolshed.g2.bx.psu.edu/repos/iuc/ebi_search_rest_results/ebi_search_rest_results/0.1.1,EBI Search,0.1.1,to obtain search results on resources and services hosted at the EBI,[],,[],[],,True,"[{'value': 'ebi_search', 'type': 'bio.tools'}]",['0.1.1'],[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Febi_search_rest_results%2Febi_search_rest_results%2F0.1.1,-1,galaxy_main,True,get_data,Get Data,regular,ebi_search_rest_results,iuc,42d5e40fcd0b,toolshed.g2.bx.psu.edu,EBI Search to obtain search results on resources and services hosted at the EBI Get Data
Tool,toolshed.g2.bx.psu.edu/repos/iuc/ebi_metagenomics_run_downloader/ebi_metagenomics_run_downloader/0.1.0,Download run data,0.1.0,from EBI Metagenomics database,[],,[],[],,True,"[{'value': 'ebi_tools', 'type': 'bio.tools'}]",['0.1.0'],[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Febi_metagenomics_run_downloader%2Febi_metagenomics_run_downloader%2F0.1.0,-1,galaxy_main,True,get_data,Get Data,regular,ebi_metagenomics_run_downloader,iuc,a1ef6c88ee37,toolshed.g2.bx.psu.edu,Download run data from EBI Metagenomics database Get Data
Tool,upload1,Upload File,1.1.7,from your computer,[],,['operation_0224'],[],,False,[],['1.1.7'],[],/tool_runner?tool_id=upload1,-1,galaxy_main,False,get_data,Get Data,regular,,,,,Upload File from your computer Get Data
DataSourceTool,ucsc_table_direct1,UCSC Main,1.0.0,table browser,[],,['operation_0224'],[],,False,[],['1.0.0'],[],/tool_runner/data_source_redirect?tool_id=ucsc_table_direct1,800,_top,True,get_data,Get Data,special,,,,,UCSC Main table browser Get Data
Tool,toolshed.g2.bx.psu.edu/repos/iuc/ncbi_datasets/datasets_download_genome/18.29.1+galaxy0,NCBI Datasets Genomes,18.29.1+galaxy0,"download genome sequence, annotation and metadata",[],,[],[],,True,"[{'value': 'ncbi_datasets', 'type': 'bio.tools'}]","['13.4.0', '13.14.0', '13.21.0', '13.21.0+galaxy1', '13.24.1+galaxy1', '13.35.0+galaxy0', '14.3+galaxy0', '14.6.0+galaxy0', '15.19.1+galaxy0', '16.6.0+galaxy0', '16.20.0+galaxy0', '16.42.0+galaxy0', '17.0.0+galaxy0', '17.1.0+galaxy0', '18.4.1+galaxy0', '18.5.1+galaxy0', '18.13.0+galaxy0', '18.14.0+galaxy0', '18.21.0+galaxy0', '18.29.1+galaxy0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fncbi_datasets%2Fdatasets_download_genome%2F18.29.1%2Bgalaxy0,-1,galaxy_main,True,get_data,Get Data,regular,ncbi_datasets,iuc,07f675a7ac2e,toolshed.g2.bx.psu.edu,"NCBI Datasets Genomes download genome sequence, annotation and metadata Get Data"
Tool,toolshed.g2.bx.psu.edu/repos/iuc/ncbi_datasets/datasets_download_gene/18.29.1+galaxy0,NCBI Datasets Gene,18.29.1+galaxy0,download gene sequences and metadata,[],,[],[],,True,"[{'value': 'ncbi_datasets', 'type': 'bio.tools'}]","['14.6.0+galaxy0', '15.19.1+galaxy0', '16.6.0+galaxy0', '16.20.0+galaxy0', '16.42.0+galaxy0', '17.0.0+galaxy0', '17.1.0+galaxy0', '18.4.1+galaxy0', '18.5.1+galaxy0', '18.13.0+galaxy0', '18.14.0+galaxy0', '18.21.0+galaxy0', '18.29.1+galaxy0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fncbi_datasets%2Fdatasets_download_gene%2F18.29.1%2Bgalaxy0,-1,galaxy_main,True,get_data,Get Data,regular,ncbi_datasets,iuc,07f675a7ac2e,toolshed.g2.bx.psu.edu,NCBI Datasets Gene download gene sequences and metadata Get Data
Tool,toolshed.g2.bx.psu.edu/repos/iuc/iedb_api/iedb_api/2.15.3+galaxy1,IEDB,2.15.3+galaxy1,MHC Binding prediction,[],,[],[],,True,"[{'value': 'iedb', 'type': 'bio.tools'}]","['2.15.2', '2.15.3+galaxy0', '2.15.3+galaxy1']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fiedb_api%2Fiedb_api%2F2.15.3%2Bgalaxy1,-1,galaxy_main,True,get_data,Get Data,regular,iedb_api,iuc,8c6526a46319,toolshed.g2.bx.psu.edu,IEDB MHC Binding prediction Get Data
Tool,toolshed.g2.bx.psu.edu/repos/galaxyp/dbbuilder/dbbuilder/0.3.4,Protein Database Downloader,0.3.4,,[],,[],[],,True,[],['0.3.4'],[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fgalaxyp%2Fdbbuilder%2Fdbbuilder%2F0.3.4,-1,galaxy_main,True,get_data,Get Data,regular,dbbuilder,galaxyp,983bf725dfc2,toolshed.g2.bx.psu.edu,Protein Database Downloader  Get Data
